lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
energy,energy,,n.,에너지 / 기운,The children have so much energy.,아이들은 기운이 정말 넘쳐요.,normal,,,FALSE
trouble,trouble,,n.,문제 / 어려움,He had trouble finding the place.,그는 그 장소를 찾는 데 어려움을 겪었어요.,normal,,,FALSE
touch,touch,,v.,만지다 / 건드리다,She touched the soft cat gently.,그녀는 부드러운 고양이를 살며시 만졌어요.,normal,,,FALSE
middle,middle,,adj.|n.,중간의 / 중간,She sat in the middle of the room.,그녀는 방 한가운데에 앉았어요.,normal,,,FALSE
strategy,strategy,,n.,전략 / 방법,We need a good strategy to win.,우리는 이기기 위한 좋은 전략이 필요해요.,normal,,,FALSE
deep,deep,,adj.,깊은,The lake is very deep and cold.,그 호수는 아주 깊고 차가워요.,normal,,,FALSE
except,except,,prep.,~을 제외하고,Everyone came except my sister.,내 여동생을 제외하고 모두 왔어요.,function_word,,,FALSE
star,star,,v.,주연을 맡다,She starred in a popular drama.,그녀는 인기 드라마에서 주연을 맡았어요.,normal,,,FALSE
network,network,,n.,네트워크 / 인맥,She has a wide network of friends.,그녀는 넓은 친구 인맥을 갖고 있어요.,normal,,,FALSE
avoid,avoid,,v.,피하다 / 삼가다,She avoids eating too much sugar.,그녀는 설탕을 너무 많이 먹는 것을 피해요.,normal,,,FALSE
seat,seat,,n.,자리 / 좌석,Please take a seat here.,여기 자리에 앉으세요.,normal,,,FALSE
throw,throw,,v.,던지다,The boy threw the ball to me.,그 남자아이가 나에게 공을 던졌어요.,normal,,,FALSE
task,task,,n.,과제 / 일,She finished her task before lunch.,그녀는 점심 전에 과제를 끝냈어요.,normal,,,FALSE
normal,normal,,adj.,보통의 / 평범한,Today was a normal day for her.,오늘은 그녀에게 평범한 하루였어요.,normal,,,FALSE
goal,goal,,n.,목표 / 골,Her goal is to learn English well.,그녀의 목표는 영어를 잘 배우는 것이에요.,normal,,,FALSE
option,option,,n.,선택 / 선택권,We have two options for dinner.,저녁 식사로 두 가지 선택이 있어요.,normal,,,FALSE
huge,huge,,adj.,거대한 / 엄청난,There was a huge tree in the garden.,정원에 거대한 나무가 있었어요.,normal,,,FALSE
refer,refer,,v.,참고하다 / 언급하다,She referred to her notes during class.,그녀는 수업 중에 노트를 참고했어요.,normal,,,FALSE
push,push,,v.,밀다 / 누르다,He pushed the door open slowly.,그는 문을 천천히 밀어서 열었어요.,normal,,,FALSE
successful,successful,,adj.,성공적인 / 성공한,She is a very successful cook.,그녀는 아주 성공한 요리사예요.,normal,,,FALSE
competition,competition,,n.,대회 / 경쟁,She won first place in the competition.,그녀는 대회에서 1등을 했어요.,normal,,,FALSE
argument,argument,,n.,말다툼 / 주장,They had an argument about the food.,그들은 음식에 대해 말다툼을 했어요.,normal,,,FALSE
adult,adult,,adj.,어른의 / 성인의,This movie is for adult viewers only.,이 영화는 성인 시청자를 위한 것이에요.,normal,,,FALSE
fly,fly,,n.,파리,A fly landed on the food.,파리 한 마리가 음식 위에 앉았어요.,normal,,,FALSE
document,document,,n.,서류 / 문서,She signed the important document.,그녀는 중요한 서류에 서명했어요.,normal,,,FALSE
pattern,pattern,,n.,패턴 / 무늬,She likes the flower pattern on her dress.,그녀는 자신의 드레스에 있는 꽃 무늬를 좋아해요.,normal,,,FALSE
search,search,,n.|v.,찾다 / 검색하다,She searched for her keys everywhere.,그녀는 어디서나 열쇠를 찾았어요.,normal,,,FALSE
separate,separate,,adj.,따로 된 / 별도의,They sleep in separate rooms.,그들은 별도의 방에서 자요.,normal,,,FALSE
anyway,anyway,,adv.,어쨌든 / 그래도,"It was cold, but she went out anyway.",추웠지만 그녀는 어쨌든 나갔어요.,normal,,,FALSE
speech,speech,,n.,연설 / 말하기,He gave a short speech at the party.,그는 파티에서 짧은 연설을 했어요.,normal,,,FALSE
officer,officer,,n.,경찰관 / 장교,The officer helped the lost child.,경찰관이 길을 잃은 아이를 도와줬어요.,normal,,,FALSE
oil,oil,,n.,기름 / 오일,She cooked the fish in hot oil.,그녀는 뜨거운 기름에 생선을 요리했어요.,normal,,,FALSE
fun,fun,,adj.,재미있는,The game was really fun for us.,그 게임은 우리에게 정말 재미있었어요.,normal,,,FALSE
protect,protect,,v.,보호하다,She protects her skin from the sun.,그녀는 햇빛으로부터 피부를 보호해요.,normal,,,FALSE
disease,disease,,n.,병 / 질병,The doctor helped her fight the disease.,의사가 그녀가 질병과 싸우도록 도와줬어요.,normal,,,FALSE
author,author,,n.,작가 / 저자,She is the author of this book.,그녀는 이 책의 작가예요.,normal,,,FALSE
male,male,,adj.|n.,남성의 / 남성,The male doctor spoke kindly.,그 남성 의사는 친절하게 말했어요.,normal,,,FALSE
dark,dark,,n.,어둠,The child is afraid of the dark.,그 아이는 어둠을 무서워해요.,normal,,,FALSE
earn,earn,,v.,벌다 / 얻다,She earns money by selling food.,그녀는 음식을 팔아서 돈을 벌어요.,normal,,,FALSE
perform,perform,,v.,공연하다 / 수행하다,She performed a song at school.,그녀는 학교에서 노래를 공연했어요.,normal,,,FALSE
professional,professional,,adj.,전문적인 / 직업적인,She got professional cooking lessons.,그녀는 전문적인 요리 수업을 받았어요.,normal,,,FALSE
mine,mine,,pron.,내 것,"This bag is mine, not yours.","이 가방은 내 것이에요, 당신 것이 아니에요.",function_word,,,FALSE
memory,memory,,n.,기억 / 추억,She has a good memory for names.,그녀는 이름을 잘 기억해요.,normal,,,FALSE
credit,credit,,n.,신용 / 공로,She paid for it by credit card.,그녀는 신용카드로 계산했어요.,normal,,,FALSE
ring,ring,,n.,반지,She wears a gold ring on her finger.,그녀는 손가락에 금반지를 끼고 있어요.,polysemy_split,(반지),ring,FALSE
ring,ring,,v.,전화하다 / 울리다,The phone rang while she was eating.,그녀가 밥을 먹는 동안 전화가 울렸어요.,polysemy_split,(울리다),ring,FALSE
discover,discover,,v.,발견하다,She discovered a new coffee shop nearby.,그녀는 근처에서 새로운 커피숍을 발견했어요.,normal,,,FALSE
dead,dead,,adj.,죽은,The plant is dead because of no water.,그 식물은 물이 없어서 죽었어요.,normal,,,FALSE
possibility,possibility,,n.,가능성,There is a possibility of rain today.,오늘 비가 올 가능성이 있어요.,normal,,,FALSE
direction,direction,,n.,방향 / 길 안내,She asked for directions to the station.,그녀는 역까지 가는 길을 물었어요.,normal,,,FALSE
variety,variety,,n.,다양함 / 여러 종류,The market sells a variety of fruits.,그 시장은 다양한 과일을 팔아요.,normal,,,FALSE
daily,daily,,adj.,매일의 / 일상적인,Walking is part of her daily routine.,걷기는 그녀의 일상 생활의 일부예요.,normal,,,FALSE
screen,screen,,n.,화면 / 스크린,She looked at the phone screen carefully.,그녀는 휴대폰 화면을 주의 깊게 봤어요.,normal,,,FALSE
track,track,,n.,길 / 트랙,She walked along the forest track.,그녀는 숲속 길을 따라 걸었어요.,normal,,,FALSE
completely,completely,,adv.,완전히 / 전혀,She completely forgot my birthday.,그녀는 내 생일을 완전히 잊어버렸어요.,normal,,,FALSE
female,female,,adj.|n.,여성의 / 여성,She is a female doctor.,그녀는 여의사예요.,normal,,,FALSE
original,original,,adj.,원래의 / 독창적인,This is the original recipe.,이것이 원래 레시피예요.,normal,,,FALSE
rock,rock,,n.,바위 / 돌,The boy sat on a big rock.,그 소년은 큰 바위 위에 앉았어요.,normal,,,FALSE
dream,dream,,n.|v.,꿈 / 꿈꾸다,She dreams of a happy family.,그녀는 행복한 가족을 꿈꿔요.,normal,,,FALSE
easily,easily,,adv.,쉽게 / 간단히,He easily finished his homework.,그는 숙제를 쉽게 끝냈어요.,normal,,,FALSE
fix,fix,,v.,고치다 / 고정하다,He fixed the broken chair.,그는 부러진 의자를 고쳤어요.,normal,,,FALSE
cross,cross,,n.|v.,십자가,There is a cross on the wall.,벽에 십자가가 있어요.,polysemy_split,(십자가),cross,FALSE
cross,cross,,n.|v.,건너다,She crossed the street carefully.,그녀는 조심스럽게 길을 건넜어요.,polysemy_split,(건너다),cross,FALSE
weight,weight,,n.,무게 / 체중,What is your weight?,당신의 체중은 얼마예요?,normal,,,FALSE
shape,shape,,n.,모양 / 형태,The cake has a heart shape.,그 케이크는 하트 모양이에요.,normal,,,FALSE
sea,sea,,n.,바다,We swam in the sea.,우리는 바다에서 수영했어요.,normal,,,FALSE
immediately,immediately,,adv.,즉시 / 바로,She called me immediately.,그녀는 즉시 나에게 전화했어요.,normal,,,FALSE
welcome,welcome,,n.,환영 / 환영하다,They gave us a warm welcome.,그들은 우리를 따뜻하게 환영해 주었어요.,normal,,,FALSE
smile,smile,,n.|v.,미소 / 미소 짓다,She smiled at me this morning.,그녀는 오늘 아침 나에게 미소 지었어요.,normal,,,FALSE
traditional,traditional,,adj.,전통적인,We ate traditional Korean food.,우리는 전통 한국 음식을 먹었어요.,normal,,,FALSE
replace,replace,,v.,교체하다 / 대신하다,She replaced the old battery.,그녀는 오래된 배터리를 교체했어요.,normal,,,FALSE
herself,herself,,pron.,그녀 자신,She made the cake herself.,그녀는 직접 케이크를 만들었어요.,function_word,,,FALSE
suddenly,suddenly,,adv.,갑자기,It suddenly started to rain.,갑자기 비가 내리기 시작했어요.,normal,,,FALSE
independent,independent,,adj.,독립적인 / 자립하는,She is very independent now.,그녀는 이제 매우 독립적이에요.,normal,,,FALSE
recommend,recommend,,v.,추천하다,Can you recommend a good restaurant?,좋은 식당을 추천해 줄 수 있어요?,normal,,,FALSE
survey,survey,,n.,설문 조사,She answered the survey online.,그녀는 온라인으로 설문 조사에 답했어요.,normal,,,FALSE
request,request,,n.,요청 / 부탁,He made a simple request.,그는 간단한 요청을 했어요.,normal,,,FALSE
wind,wind,,n.,바람,The wind is very strong today.,오늘 바람이 아주 강해요.,normal,,,FALSE
none,none,,pron.,아무것도 없다 / 아무도 없다,None of the food is left.,음식이 하나도 남지 않았어요.,function_word,,,FALSE
blood,blood,,n.,피 / 혈액,The doctor checked her blood.,의사가 그녀의 혈액을 검사했어요.,normal,,,FALSE
block,block,,n.,블록 / 구역,The school is one block away.,학교는 한 블록 거리에 있어요.,normal,,,FALSE
count,count,,v.,세다 / 중요하다,She counted the apples on the table.,그녀는 탁자 위의 사과를 세었어요.,normal,,,FALSE
scene,scene,,n.,장면 / 현장,That was a beautiful scene.,그것은 아름다운 장면이었어요.,normal,,,FALSE
prevent,prevent,,v.,막다 / 예방하다,Wash your hands to prevent illness.,병을 예방하려면 손을 씻으세요.,normal,,,FALSE
safe,safe,,adj.,안전한,This street is safe at night.,이 거리는 밤에 안전해요.,normal,,,FALSE
invite,invite,,v.,초대하다,She invited me to her birthday party.,그녀는 나를 생일 파티에 초대했어요.,normal,,,FALSE
medical,medical,,adj.,의학의 / 의료의,He needs medical help now.,그는 지금 의료 도움이 필요해요.,normal,,,FALSE
beat,beat,,v.,이기다 / 두드리다,Our team beat the other team.,우리 팀이 상대 팀을 이겼어요.,normal,,,FALSE
copy,copy,,n.|v.,복사본,Please give me a copy of this.,이것의 복사본을 주세요.,polysemy_split,(복사본),copy,FALSE
copy,copy,,n.|v.,복사하다,She copied the file to her phone.,그녀는 파일을 휴대폰에 복사했어요.,polysemy_split,(복사하다),copy,FALSE
stress,stress,,n.|v.,스트레스,She feels a lot of stress at work.,그녀는 직장에서 스트레스를 많이 받아요.,polysemy_split,(스트레스),stress,FALSE
stress,stress,,n.|v.,강조하다,The teacher stressed the importance of rest.,선생님은 휴식의 중요성을 강조했어요.,polysemy_split,(강조하다),stress,FALSE
text,text,,v.,문자 메시지를 보내다,She texted her daughter good night.,그녀는 딸에게 잘 자라고 문자를 보냈어요.,normal,,,FALSE
context,context,,n.,맥락 / 상황,Read the sentence in context.,문장을 맥락 속에서 읽으세요.,normal,,,FALSE
ride,ride,,n.,타기 / 드라이브,We went for a ride in the car.,우리는 차를 타고 드라이브를 했어요.,normal,,,FALSE
heavy,heavy,,adj.,무거운 / 심한,This bag is very heavy.,이 가방은 매우 무거워요.,normal,,,FALSE
remove,remove,,v.,제거하다 / 없애다,She removed the stain from her shirt.,그녀는 셔츠의 얼룩을 제거했어요.,normal,,,FALSE
equipment,equipment,,n.,장비 / 기구,The kitchen has new equipment.,주방에 새 장비가 있어요.,normal,,,FALSE
collect,collect,,v.,모으다 / 수집하다,She collects old stamps.,그녀는 오래된 우표를 수집해요.,normal,,,FALSE
straight,straight,,adj.|adv.,곧은 / 똑바로,Go straight and turn left.,똑바로 가다가 왼쪽으로 도세요.,normal,,,FALSE
flat,flat,,adj.,평평한 / 납작한,The road is flat here.,이곳의 도로는 평평해요.,normal,,,FALSE
fair,fair,,adj.,공정한 / 공평한,The teacher is always fair to everyone.,그 선생님은 항상 모두에게 공평해요.,normal,,,FALSE
farm,farm,,v.,농사짓다,His family farms rice every year.,그의 가족은 매년 쌀농사를 지어요.,normal,,,FALSE
tour,tour,,n.,여행 / 관광,We went on a tour of the city.,우리는 도시 관광을 했어요.,normal,,,FALSE
alternative,alternative,,n.,대안 / 다른 선택,Do you have a cheaper alternative?,더 저렴한 대안이 있나요?,normal,,,FALSE
ship,ship,,n.,배 / 선박,The big ship left the port.,큰 배가 항구를 떠났어요.,normal,,,FALSE
double,double,,adj.|det.|pron.|v.,두 배의 / 두 배가 되다,The price was double last year.,가격이 작년의 두 배였어요.,normal,,,TRUE
print,print,,v.,인쇄하다 / 출력하다,She printed the photo at home.,그녀는 집에서 사진을 출력했어요.,normal,,,FALSE
progress,progress,,n.,발전 / 진행,She made great progress in English.,그녀는 영어 실력이 크게 발전했어요.,normal,,,FALSE
speed,speed,,n.,속도,The car moved at high speed.,그 차는 빠른 속도로 달렸어요.,normal,,,FALSE
reply,reply,,n.|v.,대답 / 대답하다,She replied to my message quickly.,그녀는 내 메시지에 빨리 답했어요.,normal,,,FALSE
user,user,,n.,사용자,This app has many users.,이 앱은 사용자가 많아요.,normal,,,FALSE
respond,respond,,v.,반응하다 / 답하다,He responded to her question kindly.,그는 그녀의 질문에 친절하게 답했어요.,normal,,,FALSE
regular,regular,,adj.,규칙적인 / 정기적인,She takes regular walks every morning.,그녀는 매일 아침 규칙적으로 산책해요.,normal,,,FALSE
physical,physical,,adj.,신체의 / 육체적인,Regular exercise is good for physical health.,규칙적인 운동은 신체 건강에 좋아요.,normal,,,FALSE
suit,suit,,n.,정장 / 어울리다,He wore a suit to the meeting.,그는 회의에 정장을 입고 갔어요.,normal,,,FALSE
peace,peace,,n.,평화 / 평온,She felt peace in the garden.,그녀는 정원에서 평온함을 느꼈어요.,normal,,,FALSE
crime,crime,,n.,범죄,He saw a crime on the street.,그는 길에서 범죄를 목격했다.,normal,,,FALSE
dry,dry,,adj.|v.,마른 / 말리다,She dried her hair with a towel.,그녀는 수건으로 머리를 말렸다.,normal,,,FALSE
heat,heat,,n.|v.,열 / 데우다,She heated the soup on the stove.,그녀는 가스레인지에서 수프를 데웠다.,normal,,,FALSE
distance,distance,,n.,거리,The school is a short distance away.,학교는 가까운 거리에 있다.,normal,,,FALSE
guide,guide,,n.|v.,안내자 / 안내하다,He guided us to the market.,그는 우리를 시장으로 안내했다.,normal,,,FALSE
feed,feed,,v.,먹이를 주다,She feeds her cat every morning.,그녀는 매일 아침 고양이에게 먹이를 준다.,normal,,,FALSE
pain,pain,,n.,고통 / 아픔,She felt pain in her back.,그녀는 등에 통증을 느꼈다.,normal,,,FALSE
expert,expert,,adj.|n.,전문가 / 전문적인,She is an expert in cooking.,그녀는 요리 전문가다.,normal,,,FALSE
wave,wave,,n.,파도 / (손을) 흔들기,The big wave hit the beach.,큰 파도가 해변을 덮쳤다.,normal,,,FALSE
excellent,excellent,,adj.,훌륭한 / 뛰어난,She got an excellent score on the test.,그녀는 시험에서 훌륭한 점수를 받았다.,normal,,,FALSE
camp,camp,,n.|v.,캠프 / 캠핑하다,We camped by the river last summer.,우리는 지난 여름 강가에서 캠핑했다.,normal,,,FALSE
audience,audience,,n.,관객 / 청중,The audience clapped after the show.,공연이 끝난 후 관객들이 박수를 쳤다.,normal,,,FALSE
lift,lift,,v.,들어 올리다,He lifted the heavy box off the floor.,그는 바닥에서 무거운 상자를 들어 올렸다.,normal,,,FALSE
advertise,advertise,advertize,v.,광고하다,They advertised the new shop on TV.,그들은 TV에서 새 가게를 광고했다.,normal,,,FALSE
photograph,photograph,photo,v.,사진을 찍다,She photographed the flowers in the garden.,그녀는 정원의 꽃들을 사진으로 찍었다.,normal,,,FALSE
crowd,crowd,,n.,군중 / 사람들,A big crowd waited at the bus stop.,버스 정류장에 많은 사람들이 기다리고 있었다.,normal,,,FALSE
corner,corner,,n.,모퉁이 / 구석,The shop is on the corner of the street.,그 가게는 길 모퉁이에 있다.,normal,,,FALSE
gas,gas,,n.,가스 / 기체,She cooks with gas every day.,그녀는 매일 가스로 요리한다.,normal,,,FALSE
secretary,secretary,,n.,비서 / 서기,The secretary answered the phone.,비서가 전화를 받았다.,normal,,,FALSE
cook,cook,,n.,요리사,The cook made a delicious soup.,요리사가 맛있는 수프를 만들었다.,normal,,,FALSE
cry,cry,,v.,울다,The girl cried when she lost her toy.,그 소녀는 장난감을 잃어버렸을 때 울었다.,normal,,,FALSE
introduction,introduction,,n.,소개 / 도입,She gave a short introduction before class.,그녀는 수업 전에 간단한 소개를 했다.,normal,,,FALSE
refuse,refuse,,v.,거절하다,He refused to eat the vegetables.,그는 채소 먹기를 거절했다.,normal,,,FALSE
neither,neither,,det.|pron.,둘 다 아닌,Neither child wanted to sleep.,두 아이 모두 자고 싶어하지 않았다.,function_word,,,FALSE
solve,solve,,v.,풀다 / 해결하다,The boy solved the math problem quickly.,그 소년은 수학 문제를 빨리 풀었다.,normal,,,FALSE
background,background,,n.,배경,The photo has a blue sky in the background.,사진 배경에 파란 하늘이 있다.,normal,,,FALSE
tool,tool,,n.,도구,He used a tool to fix the chair.,그는 의자를 고치기 위해 도구를 사용했다.,normal,,,FALSE
smoke,smoke,,n.|v.,연기 / 담배를 피우다,She saw smoke coming from the kitchen.,그녀는 부엌에서 연기가 나오는 것을 보았다.,polysemy_split,(연기),,FALSE
smoke,smoke,,n.|v.,담배를 피우다,He does not smoke at home.,그는 집에서 담배를 피우지 않는다.,polysemy_split,(담배),smoke,FALSE
brain,brain,,n.,뇌 / 두뇌,Our brain needs food and rest.,우리의 뇌는 음식과 휴식이 필요하다.,normal,,,FALSE
schedule,schedule,,n.,일정 / 스케줄,She checked her schedule for tomorrow.,그녀는 내일 일정을 확인했다.,normal,,,FALSE
speaker,speaker,,n.,발표자 / 스피커,The speaker talked about health.,발표자가 건강에 대해 이야기했다.,normal,,,FALSE
bottom,bottom,,adj.|n.,맨 아래 / 바닥,The cup is on the bottom shelf.,컵이 맨 아래 선반에 있다.,normal,,,FALSE
hide,hide,,v.,숨다 / 숨기다,The girl hid behind the door.,소녀는 문 뒤에 숨었다.,normal,,,FALSE
colleague,colleague,,n.,동료,She had lunch with her colleague.,그녀는 동료와 점심을 먹었다.,normal,,,FALSE
expression,expression,,n.,표현 / 표정,She had a happy expression on her face.,그녀의 얼굴에 행복한 표정이 있었다.,normal,,,FALSE
extremely,extremely,,adv.,매우 / 극도로,It was extremely hot yesterday.,어제는 매우 더웠다.,normal,,,FALSE
owner,owner,,n.,주인,The owner of the shop was very kind.,가게 주인은 매우 친절했다.,normal,,,FALSE
lady,lady,,n.,여성 / 부인,The lady smiled at the little boy.,그 여성은 어린 소년에게 미소를 지었다.,normal,,,FALSE
connect,connect,,v.,연결하다,She connected her phone to the Wi-Fi.,그녀는 휴대폰을 와이파이에 연결했다.,normal,,,FALSE
arrange,arrange,,v.,정리하다 / 준비하다,She arranged the flowers in a vase.,그녀는 꽃병에 꽃을 정리했다.,normal,,,FALSE
unfortunately,unfortunately,,adv.,안타깝게도 / 불행히도,"Unfortunately, she missed the bus.",안타깝게도 그녀는 버스를 놓쳤다.,normal,,,FALSE
secret,secret,,adj.|n.,비밀 / 비밀의,She told her friend a secret.,그녀는 친구에게 비밀을 말했다.,normal,,,FALSE
novel,novel,,n.,소설,She read a novel before bed.,그녀는 자기 전에 소설을 읽었다.,normal,,,FALSE
burn,burn,,v.,타다 / 태우다,He burned the paper in the fire.,그는 불에 종이를 태웠다.,normal,,,FALSE
suggestion,suggestion,,n.,제안,She made a good suggestion at the meeting.,그녀는 회의에서 좋은 제안을 했다.,normal,,,FALSE
mostly,mostly,,adv.,대부분 / 주로,We mostly eat rice at home.,우리는 집에서 주로 밥을 먹는다.,normal,,,FALSE
earth,earth,,n.,지구 / 땅,The earth moves around the sun.,지구는 태양 주위를 돈다.,normal,,,FALSE
pop,pop,,adj.|n.,팝(음악) / 대중적인,She loves listening to pop music.,그녀는 팝 음악 듣는 것을 좋아한다.,normal,,,FALSE
employ,employ,,v.,고용하다,The shop employed two new workers.,가게는 새 직원 두 명을 고용했다.,normal,,,FALSE
fan,fan,,n.,팬 / 선풍기,She turned on the fan because it was hot.,더워서 그녀는 선풍기를 켰다.,normal,,,FALSE
fresh,fresh,,adj.,신선한,She bought fresh vegetables at the market.,그녀는 시장에서 신선한 채소를 샀다.,normal,,,FALSE
engineer,engineer,,n.,엔지니어 / 기술자,He works as an engineer in the city.,그는 도시에서 엔지니어로 일한다.,normal,,,FALSE
somewhere,somewhere,,adv.|pron.,어딘가에,She left her bag somewhere in the house.,그녀는 집 어딘가에 가방을 두었다.,function_word,,,FALSE
jump,jump,,n.|v.,점프하다 / 뛰어오르다,The boy jumped over the puddle.,그 소년은 웅덩이를 뛰어넘었다.,normal,,,FALSE
tradition,tradition,,n.,전통,Our family has a tradition of eating together.,우리 가족은 함께 식사하는 전통이 있다.,normal,,,FALSE
cash,cash,,n.,현금,She paid for the food with cash.,그녀는 현금으로 음식 값을 냈다.,normal,,,FALSE
award,award,,n.,상 / 수상,She won an award for her work.,그녀는 자신의 작품으로 상을 받았다.,normal,,,FALSE
coach,coach,,n.,코치 / 감독,The coach trained the team every day.,코치는 매일 팀을 훈련시켰다.,normal,,,FALSE
experiment,experiment,,n.,실험,The students did an experiment in class.,학생들은 수업 시간에 실험을 했다.,normal,,,FALSE
strange,strange,,adj.,이상한 / 낯선,She heard a strange noise at night.,그녀는 밤에 이상한 소리를 들었다.,normal,,,FALSE
code,code,,n.,코드 / 규칙,What is the zip code here?,여기 우편번호가 뭐예요?,normal,,,FALSE
accident,accident,,n.,사고 / 실수,She had a car accident yesterday.,그녀는 어제 교통사고를 당했어요.,normal,,,FALSE
impossible,impossible,,adj.,불가능한,That task is impossible for me.,그 일은 저에게 불가능해요.,normal,,,FALSE
active,active,,adj.,활동적인 / 적극적인,She is very active every morning.,그녀는 매일 아침 매우 활동적이에요.,normal,,,FALSE
blow,blow,,v.,불다 / 날리다,The wind blows hard today.,오늘 바람이 세게 불어요.,normal,,,FALSE
wash,wash,,n.,세탁 / 씻기,She gave the car a wash.,그녀는 차를 세차했어요.,normal,,,FALSE
stone,stone,,n.,돌 / 돌멩이,The boy threw a stone into the river.,그 소년은 강에 돌을 던졌어요.,normal,,,FALSE
soldier,soldier,,n.,군인,He became a soldier at twenty.,그는 스무 살에 군인이 되었어요.,normal,,,FALSE
comfortable,comfortable,,adj.,편안한,This sofa is very comfortable.,이 소파는 매우 편안해요.,normal,,,FALSE
usual,usual,,adj.,평소의 / 보통의,She woke up at her usual time.,그녀는 평소 시간에 일어났어요.,normal,,,FALSE
carefully,carefully,,adv.,조심스럽게 / 신중하게,She carefully crossed the road.,그녀는 조심스럽게 길을 건넜어요.,normal,,,FALSE
pack,pack,,v.,짐을 싸다 / 포장하다,I need to pack my bag now.,저는 지금 가방을 싸야 해요.,normal,,,FALSE
cycle,cycle,,n.|v.,순환 / 자전거를 타다,He cycles to school every day.,그는 매일 자전거를 타고 학교에 가요.,normal,,,FALSE
onto,onto,,prep.,~위로 / ~쪽으로,The cat jumped onto the table.,고양이가 탁자 위로 뛰어올랐어요.,function_word,,,FALSE
vehicle,vehicle,,n.,차량 / 탈것,A big vehicle stopped on the road.,큰 차량이 길 위에 멈췄어요.,normal,,,FALSE
route,route,,n.,길 / 경로,We took a short route home.,우리는 집으로 가는 짧은 길을 택했어요.,normal,,,FALSE
belong,belong,,v.,~에 속하다 / ~의 것이다,This bag belongs to my mother.,이 가방은 우리 어머니 것이에요.,normal,,,FALSE
taste,taste,,n.|v.,맛 / 맛이 나다,This soup tastes very good.,이 수프는 맛이 아주 좋아요.,normal,,,FALSE
fashion,fashion,,n.,유행 / 패션,She always follows the latest fashion.,그녀는 항상 최신 유행을 따라요.,normal,,,FALSE
danger,danger,,n.,위험,The child was in danger outside.,그 아이는 밖에서 위험에 처해 있었어요.,normal,,,FALSE
army,army,,n.,군대,Her son joined the army last year.,그녀의 아들은 작년에 군대에 입대했어요.,normal,,,FALSE
hurt,hurt,,adj.|v.,다친 / 다치게 하다,She hurt her hand in the kitchen.,그녀는 부엌에서 손을 다쳤어요.,normal,,,FALSE
normally,normally,,adv.,보통 / 평소에,I normally wake up at six.,저는 보통 여섯 시에 일어나요.,normal,,,FALSE
gift,gift,,n.,선물 / 재능,She gave me a nice gift today.,그녀는 오늘 저에게 멋진 선물을 줬어요.,normal,,,FALSE
guest,guest,,n.,손님,We have a guest for dinner tonight.,오늘 저녁 손님이 오세요.,normal,,,FALSE
anybody,anybody,,pron.,누구든지 / 아무도,Is anybody home right now?,지금 집에 누구 있나요?,function_word,,,FALSE
noise,noise,,n.,소음 / 시끄러운 소리,The children made a lot of noise.,아이들이 소음을 많이 냈어요.,normal,,,FALSE
manner,manner,,n.,태도 / 예절,He spoke in a polite manner.,그는 예의 바른 태도로 말했어요.,normal,,,FALSE
gun,gun,,n.,총,The soldier held a gun carefully.,그 군인은 총을 조심스럽게 들었어요.,normal,,,FALSE
square,square,,adj.|n.,정사각형의 / 광장,We met at the town square.,우리는 마을 광장에서 만났어요.,polysemy_split,(광장),square,FALSE
square,square,,adj.|n.,정사각형의,She drew a square shape on paper.,그녀는 종이에 정사각형 모양을 그렸어요.,polysemy_split,(모양),square,FALSE
destroy,destroy,,v.,파괴하다 / 망치다,The fire destroyed the old house.,화재가 오래된 집을 파괴했어요.,normal,,,FALSE
temperature,temperature,,n.,온도 / 체온,The temperature is very low today.,오늘 기온이 매우 낮아요.,normal,,,FALSE
gold,gold,,adj.|n.,금 / 금색의,She wore a gold ring on her finger.,그녀는 손가락에 금반지를 끼고 있었어요.,normal,,,FALSE
arrangement,arrangement,,n.,준비 / 배열,She made all the arrangements for the trip.,그녀가 여행 준비를 모두 했어요.,normal,,,FALSE
skin,skin,,n.,피부 / 껍질,She takes good care of her skin.,그녀는 피부 관리를 잘 해요.,normal,,,FALSE
prison,prison,,n.,교도소 / 감옥,He was sent to prison for three years.,그는 3년간 교도소에 보내졌어요.,normal,,,FALSE
wood,wood,,n.,나무 / 목재,This table is made of wood.,이 탁자는 나무로 만들어졌어요.,normal,,,FALSE
shake,shake,,v.,흔들다 / 떨다,She shook her head slowly.,그녀는 천천히 고개를 흔들었어요.,normal,,,FALSE
hall,hall,,n.,복도 / 홀,The children ran down the hall.,아이들이 복도를 달려 내려갔어요.,normal,,,FALSE
lawyer,lawyer,,n.,변호사,She called her lawyer right away.,그녀는 바로 변호사에게 전화했어요.,normal,,,FALSE
complain,complain,,v.,불평하다 / 항의하다,He always complains about the food.,그는 항상 음식에 대해 불평해요.,normal,,,FALSE
error,error,,n.,실수 / 오류,She made an error on the form.,그녀는 서류에서 실수를 했어요.,normal,,,FALSE
finger,finger,,n.,손가락,She cut her finger while cooking.,그녀는 요리하다가 손가락을 베었어요.,normal,,,FALSE
bright,bright,,adj.,밝은 / 똑똑한,The sun is very bright today.,오늘 햇빛이 매우 밝아요.,normal,,,FALSE
slowly,slowly,,adv.,천천히,She walked slowly along the street.,그녀는 길을 따라 천천히 걸었어요.,normal,,,FALSE
